,barcode,cpg_oid,cpg_ref,categoryCode,itemID,brandID
492,511111505150,5d5d4fd16d5f3b23d1bc7905,Cogs,MAGAZINES,1c1a1e9a-99ce-599e-ba1b-0d9d5e912707,5d642dd1a3a018514994f42f
493,511111003311,5332f7ffe4b03c9a25efd16b,Cpgs,,b963253a-d9bf-5ddb-8892-2ced1c712708,5332f802e4b03c9a25efd16d
494,511111015024,5eebc5412455c97a877ef382,Cogs,CLEANING_AND_HOME_IMPROVEMENT,d4a0d37b-17ac-5667-addf-f0e0d7f1fcc4,5ef3860fbe37ce02da95b72e
495,511111901655,5332f5fbe4b03c9a25efd0ba,Cogs,BEVERAGES,d5778670-3148-5dac-951c-bd02a1958be3,585a9698e4b03e62d1ce0e83
496,511111500018,559c2234e4b06aca36af13c6,Cogs,DAIRY,08c85017-e9e3-503c-9aa9-a2b0af35ca1a,5a5e36d6e4b06ba572cf24ac
497,511111816614,5f5bc4f1be37ce17125ac0e8,Cogs,BAKING,81ad5080-5b2e-57d2-a8cc-09266bb30ddd,5f5bc4f1be37ce17125ac0eb
498,511111802563,5332f5fbe4b03c9a25efd0ba,Cogs,BEVERAGES,307cf08e-cf1a-51c5-9df8-cf2f0121a128,55bf8c6ce4b0d8e685c1489d
499,511111415299,5f358338be37ce443bf9d557,Cogs,BAKING,0c78febb-241b-58eb-9043-bdd42a314841,5f358338be37ce443bf9d558
500,511111304104,5a734034e4b0d58f376be874,Cogs,GROCERY,99269f36-7009-567d-a449-434cfee4835d,5a8c3140e4b07f0a2dac8941
501,511111000440,5332f5fbe4b03c9a25efd0ba,Cogs,BREAKFAST & CEREAL,d95421bd-9a7a-5c6c-a5b2-b99be09fd9f4,5a5d17ede4b06ba572cf2498
502,511111700258,5332f709e4b03c9a25efd0f1,Cogs,BEER WINE SPIRITS,b8493c7c-bed5-5d54-9c4d-e956ddeeac86,5a5d23f1e4b06ba572cf24a0
503,511111416661,5f628214be37ce78e6e2efaa,Cogs,BAKING,d63fad67-cb19-58b6-a141-c17a86675159,5f628215be37ce78e6e2efad
504,511111501336,5332f5fbe4b03c9a25efd0ba,Cogs,SNACKS,f305193d-72b0-5f72-8819-32ecd5e672f0,58861c7e4e8d0d20bc42c4f6
505,511111401872,53e10d6368abd3c7065097cc,Cpgs,DAIRY,56b85e11-5162-5098-96d5-b9f0f15a8381,580dff8fe4b0f32b2de21380
506,511111305286,5d5d4fd16d5f3b23d1bc7905,Cogs,MAGAZINES,f4bd191f-d1f5-57d1-a420-81e8d88b06fa,5d66d516a3a018093ab34725
507,511111105992,5332f5f3e4b03c9a25efd0ae,Cogs,BREAKFAST & CEREAL,9a0c6b3c-062f-5863-a579-ebc1765a0285,5daf4f9ca60b87376833e360
508,511111706113,5332f5f3e4b03c9a25efd0ae,Cogs,BREAKFAST & CEREAL,f9f04cf2-e51b-589f-a830-42fcf7b99bf0,5daf6e31a60b87376833e365
509,511111303503,5332f7a7e4b03c9a25efd134,Cpgs,,a0856397-8db9-57d8-83c5-9b6c05ebb9ed,5332f7ace4b03c9a25efd13b
510,511111915638,5f3ff222be37ce1c81aa1e0c,Cogs,BAKING,8480f5b2-5c16-5c73-8ec3-36c3d19d8c9a,5f3ff222be37ce1c81aa1e10
511,511111805342,5d5d4fd16d5f3b23d1bc7905,Cogs,MAGAZINES,3b4a5f5f-556e-5438-83fd-141258fa8ca1,5d66d8c86d5f3b6188d4f049
512,511111318033,5fcff319be37ce6d53dfc690,Cogs,BAKING,5e5a4a24-7476-512e-81c8-c1a27f3ae2dd,5fcff319be37ce6d53dfc691
513,511111003038,5332f5ebe4b03c9a25efd0a8,Cpgs,,5f2055e3-5961-5360-8c8d-91f00af34b04,5332fa74e4b03c9a25efd21e
